Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,1.203398,1.219096,1.194401,1.217093,1.217093,0
2003-12-08,1.216797,1.230603,1.212298,1.218502,1.218502,0
2003-12-15,1.218695,1.244199,1.217804,1.235804,1.235804,0
2003-12-22,1.235697,1.267202,1.235697,1.243394,1.243394,0
2003-12-29,1.243394,1.264894,1.242993,1.263807,1.263807,0
2004-01-05,1.263903,1.286703,1.256502,1.285099,1.285099,0
2004-01-12,1.284802,1.289707,1.215407,1.238804,1.238804,0
2004-01-19,1.238697,1.277596,1.234004,1.257498,1.257498,0
2004-01-26,1.257498,1.265999,1.235498,1.247707,1.247707,0
2004-02-02,1.247598,1.272605,1.239603,1.264798,1.264798,0
2004-02-09,1.265502,1.288992,1.265502,1.272799,1.272799,0
2004-02-16,1.272993,1.292207,1.250297,1.250797,1.250797,0
2004-02-23,1.250094,1.271100,1.238099,1.253007,1.253007,0
2004-03-01,1.253903,1.254107,1.206899,1.236400,1.236400,0
2004-03-08,1.236507,1.246401,1.217404,1.221195,1.221195,0
2004-03-15,1.221404,1.241897,1.218294,1.227702,1.227702,0
2004-03-22,1.227702,1.239603,1.209000,1.211504,1.211504,0
2004-03-29,1.211402,1.238497,1.206505,1.211402,1.211402,0
2004-04-05,1.211504,1.221702,1.198897,1.209395,1.209395,0
2004-04-12,1.209102,1.209599,1.187705,1.202299,1.202299,0
2004-04-19,1.201995,1.207802,1.179106,1.180805,1.180805,0
2004-04-26,1.180094,1.200898,1.176498,1.199300,1.199300,0
2004-05-03,1.199400,1.217804,1.187099,1.189301,1.189301,0
2004-05-10,1.189499,1.194101,1.177995,1.189499,1.189499,0
2004-05-17,1.189499,1.206797,1.188199,1.200106,1.200106,0
2004-05-24,1.200106,1.229407,1.193902,1.224005,1.224005,0
2004-05-31,1.224005,1.231906,1.215998,1.231497,1.231497,0
2004-06-07,1.231800,1.234995,1.196501,1.196501,1.196501,0
2004-06-14,1.196802,1.217093,1.195700,1.213607,1.213607,0
2004-06-21,1.213799,1.220301,1.204602,1.217493,1.217493,0
2004-06-28,1.217493,1.233700,1.206797,1.233304,1.233304,0
2004-07-05,1.233000,1.242406,1.227099,1.241496,1.241496,0
2004-07-12,1.241203,1.245997,1.230406,1.245702,1.245702,0
2004-07-19,1.245501,1.246401,1.209204,1.211196,1.211196,0
2004-07-26,1.210800,1.219007,1.199803,1.204500,1.204500,0
2004-08-02,1.204195,1.232802,1.197504,1.227401,1.227401,0
2004-08-09,1.226994,1.238405,1.218502,1.237808,1.237808,0
2004-08-16,1.238099,1.238497,1.228501,1.230497,1.230497,0
2004-08-23,1.230800,1.231800,1.200206,1.201706,1.201706,0
2004-08-30,1.201706,1.222105,1.199199,1.206302,1.206302,0
2004-09-06,1.206302,1.230603,1.203297,1.228094,1.228094,0
2004-09-13,1.228305,1.229498,1.212503,1.217493,1.217493,0
2004-09-20,1.217493,1.235697,1.212900,1.228305,1.228305,0
2004-09-27,1.228607,1.244400,1.225295,1.239803,1.239803,0
2004-10-04,1.240202,1.243503,1.226001,1.241095,1.241095,0
2004-10-11,1.241203,1.250000,1.223496,1.248206,1.248206,0
2004-10-18,1.248299,1.272993,1.245501,1.272896,1.272896,0
